id,embarked_QorS,pclass_2nd,pclass_3rd,sex_male
3,1,0,0,0
4,1,0,1,1
7,1,0,1,1
9,0,1,0,0
11,1,0,0,0
13,1,0,1,1
16,1,0,1,1
19,0,0,1,0
23,1,0,0,1
24,1,0,1,0
25,1,0,1,0
26,0,0,1,1
28,1,0,1,0
29,1,0,1,1
32,1,0,1,0
33,1,1,0,1
36,0,0,1,1
41,1,1,0,0
42,0,0,1,1
43,0,1,0,0
44,1,0,1,0
47,1,0,1,0
53,1,1,0,0
56,1,1,0,0
57,0,0,1,1
58,1,1,0,0
59,1,0,1,1
61,1,0,0,0
63,1,0,1,1
67,1,0,1,1
69,1,0,1,1
70,1,1,0,1
72,1,1,0,1
73,0,0,1,1
80,1,0,1,1
82,1,0,1,0
83,1,0,0,1
84,1,1,0,0
86,1,0,1,1
87,1,0,1,1
88,1,0,0,0
91,1,0,1,1
93,1,0,1,1
94,1,0,1,1
95,1,0,1,1
98,1,1,0,0
99,1,1,0,1
106,1,0,1,0
110,1,0,0,1
111,0,0,1,0
112,1,0,1,1
114,0,0,1,0
115,1,0,1,1
117,1,1,0,1
119,1,0,1,0
120,1,1,0,1
121,1,0,1,1
123,1,1,0,0
125,0,0,1,1
126,1,0,1,1
128,0,0,1,0
129,1,0,1,1
130,0,0,1,1
131,1,0,1,1
134,1,1,0,1
135,0,1,0,1
136,1,0,0,0
137,1,0,0,1
138,1,0,1,1
139,0,0,0,1
143,1,0,1,1
146,1,0,1,1
147,1,0,1,0
148,1,1,0,1
149,1,1,0,1
151,1,0,0,0
152,1,0,1,1
153,1,0,1,1
160,1,0,1,1
163,1,0,1,1
164,1,0,1,1
166,1,0,0,0
168,1,0,0,1
169,1,0,1,1
174,0,0,0,1
176,1,0,1,1
177,0,0,0,0
180,1,0,1,0
182,1,0,1,1
183,1,1,0,1
184,1,0,1,0
186,1,0,1,0
189,1,0,1,1
191,1,1,0,1
192,1,0,1,0
195,0,0,0,0
197,1,0,1,1
199,1,1,0,0
201,1,0,1,1
203,0,0,1,1
207,0,0,1,1
209,0,0,0,1
212,1,0,1,1
213,1,1,0,1
216,1,0,1,0
217,1,1,0,1
219,1,1,0,1
221,1,1,0,1
224,1,0,0,1
225,1,0,1,1
226,1,1,0,1
227,1,0,1,1
228,1,1,0,1
232,1,1,0,1
234,1,1,0,1
237,1,1,0,0
244,0,0,1,1
246,1,0,1,0
248,1,0,0,1
254,1,0,1,0
256,0,0,0,0
257,1,0,0,0
259,1,1,0,0
260,1,0,1,1
265,1,1,0,1
269,1,0,0,0
273,0,0,0,1
274,1,0,1,0
275,1,0,0,0
276,1,0,1,0
277,1,1,0,1
280,1,0,1,1
281,1,0,1,1
282,1,0,1,1
284,1,0,0,1
286,1,0,1,1
287,1,0,1,1
288,1,1,0,1
289,1,0,1,0
290,1,0,0,0
291,0,0,0,0
292,0,1,0,1
295,0,0,0,1
296,0,0,1,1
297,1,0,0,0
300,1,0,1,0
305,1,0,0,1
307,0,0,0,0
314,1,1,0,1
321,1,0,1,1
322,1,1,0,0
323,1,1,0,0
324,1,0,1,1
325,0,0,0,0
326,1,0,1,1
328,1,0,1,0
329,0,0,0,0
330,1,0,1,0
332,1,0,0,1
335,1,0,1,1
336,1,0,0,1
339,1,0,0,1
340,1,1,0,1
341,1,0,0,0
343,1,1,0,1
347,1,0,1,0
348,1,0,1,1
349,1,0,1,1
353,1,0,1,1
355,1,0,1,1
357,1,1,0,0
359,1,0,1,0
360,1,0,1,1
365,1,0,1,1
368,1,0,1,0
369,0,0,0,0
370,0,0,0,1
371,1,0,1,1
373,0,0,0,1
376,1,0,1,0
377,0,0,0,1
381,0,0,1,0
383,1,0,0,0
385,1,1,0,1
387,1,1,0,0
388,1,0,1,1
393,0,0,0,0
394,1,0,1,0
396,1,0,1,0
398,1,1,0,1
400,1,0,1,1
404,1,0,1,0
405,1,1,0,1
407,1,1,0,1
410,1,0,1,1
411,1,0,1,1
414,1,0,1,1
415,1,0,1,0
417,1,1,0,0
419,1,0,1,0
421,1,0,1,1
423,1,0,1,0
426,1,1,0,0
427,1,1,0,0
429,1,0,1,1
430,1,0,0,1
431,1,0,1,0
433,1,0,1,1
435,1,0,0,0
437,1,1,0,0
438,1,0,0,1
442,1,0,1,1
444,1,0,1,1
445,1,0,0,1
446,1,1,0,0
448,0,0,1,0
449,1,0,0,1
450,1,1,0,1
454,1,0,1,1
455,0,0,1,1
459,1,0,1,1
461,1,0,1,1
463,1,1,0,1
464,1,0,1,1
466,1,1,0,1
468,1,0,1,1
469,0,0,1,0
470,1,0,1,1
472,1,1,0,0
473,0,1,0,0
478,1,0,1,1
480,1,0,1,1
486,1,0,0,0
488,1,0,1,1
490,1,0,1,1
497,1,0,1,1
498,1,0,0,0
499,1,0,1,1
502,1,0,1,0
504,1,0,0,0
507,1,0,0,1
508,1,0,1,1
509,1,0,1,1
510,1,0,1,1
512,1,0,0,1
514,1,0,1,1
515,1,0,0,1
517,1,0,1,1
525,1,0,1,1
528,1,0,1,1
534,1,0,1,0
536,1,0,0,1
537,0,0,0,0
539,0,0,0,0
540,1,0,0,0
541,1,0,1,0
543,1,1,0,1
544,0,0,0,1
546,1,1,0,0
547,0,1,0,1
548,1,0,1,1
550,0,0,0,1
551,1,1,0,1
552,1,0,1,1
554,1,0,1,0
555,1,0,0,1
556,0,0,0,0
559,1,0,1,0
560,1,0,1,1
562,1,1,0,1
565,1,0,1,1
568,0,0,1,1
569,1,0,1,1
571,1,0,0,0
574,1,0,1,1
575,1,0,1,1
576,1,1,0,0
577,1,0,0,0
579,1,0,1,1
581,0,0,0,0
582,1,1,0,1
584,0,0,1,1
586,1,1,0,1
589,1,0,1,1
590,1,0,1,1
591,0,0,0,0
593,1,0,1,0
594,1,1,0,1
595,1,0,1,1
598,0,0,1,1
599,0,0,0,1
600,1,1,0,0
601,1,0,1,1
602,1,0,0,1
604,0,0,0,1
605,1,0,1,1
606,1,0,1,1
607,1,0,0,1
608,0,1,0,0
610,1,0,1,0
611,1,0,1,1
613,1,0,1,1
616,1,0,1,1
617,1,0,1,0
621,1,0,0,1
622,0,0,1,1
623,1,0,1,1
624,1,0,1,1
628,1,0,1,1
629,1,0,1,1
630,1,0,0,1
633,1,0,0,1
636,1,0,1,1
637,1,1,0,1
639,1,0,1,1
640,1,0,1,1
641,0,0,0,0
645,0,0,0,1
649,1,0,1,0
651,1,1,0,0
659,0,0,0,1
660,1,0,0,1
661,0,0,1,1
662,1,0,0,1
663,1,0,1,1
664,1,0,1,1
665,1,1,0,1
667,1,0,1,1
668,1,0,1,1
670,1,1,0,0
673,1,1,0,1
675,1,0,1,1
677,1,0,1,0
679,0,0,0,1
682,1,0,1,1
684,1,1,0,1
685,0,1,0,1
687,1,0,1,1
689,1,0,0,0
690,1,0,0,1
691,0,0,1,0
692,1,0,1,1
696,1,0,1,1
697,1,0,1,0
699,1,0,1,1
702,0,0,1,0
703,1,0,1,1
705,1,1,0,1
707,1,0,0,1
709,0,0,1,1
711,1,0,0,1
714,1,1,0,1
716,0,0,0,0
717,1,1,0,0
719,1,0,1,1
721,1,0,1,1
723,1,1,0,1
729,1,0,1,0
730,1,0,0,0
732,1,1,0,1
733,1,1,0,1
734,1,1,0,1
736,1,0,1,0
737,0,0,0,1
739,1,0,1,1
741,1,0,0,1
743,1,0,1,1
745,1,0,0,1
746,1,0,1,1
747,1,1,0,0
748,1,0,0,1
749,1,0,1,1
751,1,0,1,1
754,1,1,0,0
755,1,1,0,1
756,1,0,1,1
757,1,1,0,1
758,1,0,1,1
759,1,0,0,0
763,1,0,0,0
765,1,0,0,0
767,1,0,1,0
770,1,0,1,1
772,1,1,0,0
773,0,0,1,1
774,1,1,0,0
775,1,0,1,1
776,1,0,1,1
777,1,0,1,0
779,1,0,0,0
781,1,0,0,0
783,1,0,1,1
789,0,0,0,1
790,1,0,1,1
791,1,1,0,1
792,1,0,1,0
793,0,0,0,1
794,1,0,1,1
795,1,1,0,1
797,1,0,1,0
798,0,0,1,1
801,1,1,0,0
802,1,0,0,1
804,1,0,1,1
805,1,0,1,1
809,1,0,0,0
812,1,1,0,1
814,1,0,1,1
821,1,0,1,1
824,1,0,1,1
826,1,0,1,1
828,1,0,1,1
829,1,0,0,0
830,0,0,1,0
831,1,1,0,1
834,1,0,1,1
835,0,0,0,0
836,1,0,1,1
840,1,0,1,1
842,0,0,0,0
844,1,0,1,1
845,1,0,1,1
846,1,0,1,1
847,0,0,1,1
849,0,0,0,0
850,1,0,1,1
853,1,0,0,0
854,1,1,0,0
855,1,0,1,0
856,1,0,0,0
858,0,0,1,0
860,1,0,1,1
861,1,1,0,1
863,1,0,1,0
865,1,1,0,0
867,1,0,0,1
868,1,0,1,1
869,1,0,1,1
871,1,0,0,0
872,1,0,0,1
873,1,0,1,1
874,0,1,0,0
879,0,0,0,0
884,1,0,1,1
888,1,0,1,0
0,1,0,1,1
1,0,0,0,0
2,1,0,1,0
5,1,0,1,1
6,1,0,0,1
8,1,0,1,0
10,1,0,1,0
12,1,0,1,1
14,1,0,1,0
15,1,1,0,0
17,1,1,0,1
18,1,0,1,0
20,1,1,0,1
21,1,1,0,1
22,1,0,1,0
27,1,0,0,1
30,0,0,0,1
31,0,0,0,0
34,0,0,0,1
35,1,0,0,1
37,1,0,1,1
38,1,0,1,0
39,0,0,1,0
40,1,0,1,0
45,1,0,1,1
46,1,0,1,1
48,0,0,1,1
49,1,0,1,0
50,1,0,1,1
51,1,0,1,1
52,0,0,0,0
54,0,0,0,1
55,1,0,0,1
60,0,0,1,1
62,1,0,0,1
64,0,0,0,1
65,0,0,1,1
66,1,1,0,0
68,1,0,1,0
71,1,0,1,0
74,1,0,1,1
75,1,0,1,1
76,1,0,1,1
77,1,0,1,1
78,1,1,0,1
79,1,0,1,0
81,1,0,1,1
85,1,0,1,0
89,1,0,1,1
90,1,0,1,1
92,1,0,0,1
96,0,0,0,1
97,0,0,0,1
100,1,0,1,0
101,1,0,1,1
102,1,0,0,1
103,1,0,1,1
104,1,0,1,1
105,1,0,1,1
107,1,0,1,1
108,1,0,1,1
109,1,0,1,0
113,1,0,1,0
116,1,0,1,1
118,0,0,0,1
122,0,1,0,1
124,1,0,0,1
127,1,0,1,1
132,1,0,1,0
133,1,1,0,0
140,0,0,1,0
141,1,0,1,0
142,1,0,1,0
144,1,1,0,1
145,1,1,0,1
150,1,1,0,1
154,1,0,1,1
155,0,0,0,1
156,1,0,1,0
157,1,0,1,1
158,1,0,1,1
159,1,0,1,1
161,1,1,0,0
162,1,0,1,1
165,1,0,1,1
167,1,0,1,0
170,1,0,0,1
171,1,0,1,1
172,1,0,1,0
173,1,0,1,1
175,1,0,1,1
178,1,1,0,1
179,1,0,1,1
181,0,1,0,1
185,1,0,0,1
187,1,0,0,1
188,1,0,1,1
190,1,1,0,0
193,1,1,0,1
194,0,0,0,0
196,1,0,1,1
198,1,0,1,0
200,1,0,1,1
202,1,0,1,1
204,1,0,1,1
205,1,0,1,0
206,1,0,1,1
208,1,0,1,0
210,1,0,1,1
211,1,1,0,0
214,1,0,1,1
215,0,0,0,0
218,0,0,0,0
220,1,0,1,1
222,1,0,1,1
223,1,0,1,1
229,1,0,1,0
230,1,0,0,0
231,1,0,1,1
233,1,0,1,0
235,1,0,1,0
236,1,1,0,1
238,1,1,0,1
239,1,1,0,1
240,0,0,1,0
241,1,0,1,0
242,1,1,0,1
243,1,0,1,1
245,1,0,0,1
247,1,1,0,0
249,1,1,0,1
250,1,0,1,1
251,1,0,1,0
252,1,0,0,1
253,1,0,1,1
255,0,0,1,0
258,0,0,0,0
261,1,0,1,1
262,1,0,0,1
263,1,0,0,1
264,1,0,1,0
266,1,0,1,1
267,1,0,1,1
268,1,0,0,0
270,1,0,0,1
271,1,0,1,1
272,1,1,0,0
278,1,0,1,1
279,1,0,1,0
283,1,0,1,1
285,0,0,1,1
293,1,0,1,0
294,1,0,1,1
298,1,0,0,1
299,0,0,0,0
301,1,0,1,1
302,1,0,1,1
303,1,1,0,0
304,1,0,1,1
306,0,0,0,0
308,0,1,0,1
309,0,0,0,0
310,0,0,0,0
311,0,0,0,0
312,1,1,0,0
313,1,0,1,1
315,1,0,1,0
316,1,1,0,0
317,1,1,0,1
318,1,0,0,0
319,0,0,0,0
320,1,0,1,1
327,1,1,0,0
331,1,0,0,1
333,1,0,1,1
334,1,0,0,0
337,0,0,0,0
338,1,0,1,1
342,1,1,0,1
344,1,1,0,1
345,1,1,0,0
346,1,1,0,0
350,1,0,1,1
351,1,0,0,1
352,0,0,1,1
354,0,0,1,1
356,1,0,0,0
358,1,0,1,0
361,0,1,0,1
362,0,0,1,0
363,1,0,1,1
364,1,0,1,1
366,0,0,0,0
367,0,0,1,0
372,1,0,1,1
374,1,0,1,0
375,0,0,0,0
378,0,0,1,1
379,1,0,1,1
380,0,0,0,0
382,1,0,1,1
384,1,0,1,1
386,1,0,1,1
389,0,1,0,0
390,1,0,0,1
391,1,0,1,1
392,1,0,1,1
395,1,0,1,1
397,1,1,0,1
399,1,1,0,0
401,1,0,1,1
402,1,0,1,0
403,1,0,1,1
406,1,0,1,1
408,1,0,1,1
409,1,0,1,0
412,1,0,0,0
413,1,1,0,1
416,1,1,0,0
418,1,1,0,1
420,0,0,1,1
422,1,0,1,1
424,1,0,1,1
425,1,0,1,1
428,1,0,1,1
432,1,1,0,0
434,1,0,0,1
436,1,0,1,0
439,1,1,0,1
440,1,1,0,0
441,1,0,1,1
443,1,1,0,0
447,1,0,0,1
451,1,0,1,1
452,0,0,0,1
453,0,0,0,1
456,1,0,0,1
457,1,0,0,0
458,1,1,0,0
460,1,0,0,1
462,1,0,0,1
465,1,0,1,1
467,1,0,0,1
471,1,0,1,1
474,1,0,1,0
475,1,0,0,1
476,1,1,0,1
477,1,0,1,1
479,1,0,1,0
481,1,1,0,1
482,1,0,1,1
483,1,0,1,0
484,0,0,0,1
485,1,0,1,0
487,0,0,0,1
489,1,0,1,1
491,1,0,1,1
492,1,0,0,1
493,0,0,0,1
494,1,0,1,1
495,0,0,1,1
496,0,0,0,0
500,1,0,1,1
501,1,0,1,0
503,1,0,1,0
505,0,0,0,1
506,1,1,0,0
511,1,0,1,1
513,0,0,0,0
516,1,1,0,0
518,1,1,0,0
519,1,0,1,1
520,1,0,0,0
521,1,0,1,1
522,0,0,1,1
523,0,0,0,0
524,0,0,1,1
526,1,1,0,0
527,1,0,0,1
529,1,1,0,1
530,1,1,0,0
531,0,0,1,1
532,0,0,1,1
533,0,0,1,0
535,1,1,0,0
538,1,0,1,1
542,1,0,1,0
545,1,0,0,1
549,1,1,0,1
553,0,0,1,1
557,0,0,0,1
558,1,0,0,0
561,1,0,1,1
563,1,0,1,1
564,1,0,1,0
566,1,0,1,1
567,1,0,1,0
570,1,1,0,1
572,1,0,0,1
573,1,0,1,0
578,0,0,1,0
580,1,1,0,0
583,0,0,0,1
585,1,0,0,0
587,0,0,0,1
588,1,0,1,1
592,1,0,1,1
596,1,1,0,0
597,1,0,1,1
603,1,0,1,1
609,1,0,0,0
612,1,0,1,0
614,1,0,1,1
615,1,1,0,0
618,1,1,0,0
619,1,1,0,1
620,0,0,1,1
625,1,0,0,1
626,1,1,0,1
627,1,0,0,0
631,1,0,1,1
632,0,0,0,1
634,1,0,1,0
635,1,1,0,0
638,1,0,1,0
642,1,0,1,0
643,1,0,1,1
644,0,0,1,0
646,1,0,1,1
647,0,0,0,1
648,1,0,1,1
650,1,0,1,1
652,1,0,1,1
653,1,0,1,0
654,1,0,1,0
655,1,1,0,1
656,1,0,1,1
657,1,0,1,0
658,1,1,0,1
666,1,1,0,1
669,1,0,0,0
671,1,0,0,1
672,1,1,0,1
674,1,1,0,1
676,1,0,1,1
678,1,0,1,0
680,1,0,1,0
681,0,0,0,1
683,1,0,1,1
686,1,0,1,1
688,1,0,1,1
693,0,0,1,1
694,1,0,0,1
695,1,1,0,1
698,0,0,0,1
700,0,0,0,0
701,1,0,0,1
704,1,0,1,1
706,1,1,0,0
708,1,0,0,0
710,0,0,0,0
712,1,0,0,1
713,1,0,1,1
715,1,0,1,1
718,1,0,1,1
720,1,1,0,0
722,1,1,0,1
724,1,0,0,1
725,1,0,1,1
726,1,1,0,0
727,1,0,1,0
728,1,1,0,1
731,0,0,1,1
735,1,0,1,1
738,1,0,1,1
740,1,0,0,1
742,0,0,0,0
744,1,0,1,1
750,1,1,0,0
752,1,0,1,1
753,1,0,1,1
760,1,0,1,1
761,1,0,1,1
762,0,0,1,1
764,1,0,1,1
766,0,0,0,1
768,1,0,1,1
769,1,0,1,1
771,1,0,1,1
778,1,0,1,1
780,0,0,1,0
782,1,0,0,1
784,1,0,1,1
785,1,0,1,1
786,1,0,1,0
787,1,0,1,1
788,1,0,1,1
796,1,0,0,0
799,1,0,1,0
800,1,1,0,1
803,0,0,1,1
806,1,0,0,1
807,1,0,1,0
808,1,1,0,1
810,1,0,1,1
811,1,0,1,1
813,1,0,1,0
815,1,0,0,1
816,1,0,1,0
817,0,1,0,1
818,1,0,1,1
819,1,0,1,1
820,1,0,0,0
822,1,0,0,1
823,1,0,1,0
825,1,0,1,1
827,0,1,0,1
832,0,0,1,1
833,1,0,1,1
837,1,0,1,1
838,1,0,1,1
839,0,0,0,1
841,1,1,0,1
843,0,0,1,1
848,1,1,0,1
851,1,0,1,1
852,0,0,1,0
857,1,0,0,1
859,0,0,1,1
862,1,0,0,0
864,1,1,0,1
866,0,1,0,0
870,1,0,1,1
875,0,0,1,0
876,1,0,1,1
877,1,0,1,1
878,1,0,1,1
880,1,1,0,0
881,1,0,1,1
882,1,0,1,0
883,1,1,0,1
885,1,0,1,0
886,1,1,0,1
887,1,0,0,0
889,0,0,0,1
890,1,0,1,1
