id,embarked,pclass,sex
3,S,1st,female
4,S,3rd,male
7,S,3rd,male
9,C,2nd,female
11,S,1st,female
13,S,3rd,male
16,Q,3rd,male
19,C,3rd,female
23,S,1st,male
24,S,3rd,female
25,S,3rd,female
26,C,3rd,male
28,Q,3rd,female
29,S,3rd,male
32,Q,3rd,female
33,S,2nd,male
36,C,3rd,male
41,S,2nd,female
42,C,3rd,male
43,C,2nd,female
44,Q,3rd,female
47,Q,3rd,female
53,S,2nd,female
56,S,2nd,female
57,C,3rd,male
58,S,2nd,female
59,S,3rd,male
61,,1st,female
63,S,3rd,male
67,S,3rd,male
69,S,3rd,male
70,S,2nd,male
72,S,2nd,male
73,C,3rd,male
80,S,3rd,male
82,Q,3rd,female
83,S,1st,male
84,S,2nd,female
86,S,3rd,male
87,S,3rd,male
88,S,1st,female
91,S,3rd,male
93,S,3rd,male
94,S,3rd,male
95,S,3rd,male
98,S,2nd,female
99,S,2nd,male
106,S,3rd,female
110,S,1st,male
111,C,3rd,female
112,S,3rd,male
114,C,3rd,female
115,S,3rd,male
117,S,2nd,male
119,S,3rd,female
120,S,2nd,male
121,S,3rd,male
123,S,2nd,female
125,C,3rd,male
126,Q,3rd,male
128,C,3rd,female
129,S,3rd,male
130,C,3rd,male
131,S,3rd,male
134,S,2nd,male
135,C,2nd,male
136,S,1st,female
137,S,1st,male
138,S,3rd,male
139,C,1st,male
143,Q,3rd,male
146,S,3rd,male
147,S,3rd,female
148,S,2nd,male
149,S,2nd,male
151,S,1st,female
152,S,3rd,male
153,S,3rd,male
160,S,3rd,male
163,S,3rd,male
164,S,3rd,male
166,S,1st,female
168,S,1st,male
169,S,3rd,male
174,C,1st,male
176,S,3rd,male
177,C,1st,female
180,S,3rd,female
182,S,3rd,male
183,S,2nd,male
184,S,3rd,female
186,Q,3rd,female
189,S,3rd,male
191,S,2nd,male
192,S,3rd,female
195,C,1st,female
197,S,3rd,male
199,S,2nd,female
201,S,3rd,male
203,C,3rd,male
207,C,3rd,male
209,C,1st,male
212,S,3rd,male
213,S,2nd,male
216,S,3rd,female
217,S,2nd,male
219,S,2nd,male
221,S,2nd,male
224,S,1st,male
225,S,3rd,male
226,S,2nd,male
227,S,3rd,male
228,S,2nd,male
232,S,2nd,male
234,S,2nd,male
237,S,2nd,female
244,C,3rd,male
246,S,3rd,female
248,S,1st,male
254,S,3rd,female
256,C,1st,female
257,S,1st,female
259,S,2nd,female
260,Q,3rd,male
265,S,2nd,male
269,S,1st,female
273,C,1st,male
274,Q,3rd,female
275,S,1st,female
276,S,3rd,female
277,S,2nd,male
280,Q,3rd,male
281,S,3rd,male
282,S,3rd,male
284,S,1st,male
286,S,3rd,male
287,S,3rd,male
288,S,2nd,male
289,Q,3rd,female
290,S,1st,female
291,C,1st,female
292,C,2nd,male
295,C,1st,male
296,C,3rd,male
297,S,1st,female
300,Q,3rd,female
305,S,1st,male
307,C,1st,female
314,S,2nd,male
321,S,3rd,male
322,Q,2nd,female
323,S,2nd,female
324,S,3rd,male
325,C,1st,female
326,S,3rd,male
328,S,3rd,female
329,C,1st,female
330,Q,3rd,female
332,S,1st,male
335,S,3rd,male
336,S,1st,male
339,S,1st,male
340,S,2nd,male
341,S,1st,female
343,S,2nd,male
347,S,3rd,female
348,S,3rd,male
349,S,3rd,male
353,S,3rd,male
355,S,3rd,male
357,S,2nd,female
359,Q,3rd,female
360,S,3rd,male
365,S,3rd,male
368,Q,3rd,female
369,C,1st,female
370,C,1st,male
371,S,3rd,male
373,C,1st,male
376,S,3rd,female
377,C,1st,male
381,C,3rd,female
383,S,1st,female
385,S,2nd,male
387,S,2nd,female
388,Q,3rd,male
393,C,1st,female
394,S,3rd,female
396,S,3rd,female
398,S,2nd,male
400,S,3rd,male
404,S,3rd,female
405,S,2nd,male
407,S,2nd,male
410,S,3rd,male
411,Q,3rd,male
414,S,3rd,male
415,S,3rd,female
417,S,2nd,female
419,S,3rd,female
421,Q,3rd,male
423,S,3rd,female
426,S,2nd,female
427,S,2nd,female
429,S,3rd,male
430,S,1st,male
431,S,3rd,female
433,S,3rd,male
435,S,1st,female
437,S,2nd,female
438,S,1st,male
442,S,3rd,male
444,S,3rd,male
445,S,1st,male
446,S,2nd,female
448,C,3rd,female
449,S,1st,male
450,S,2nd,male
454,S,3rd,male
455,C,3rd,male
459,Q,3rd,male
461,S,3rd,male
463,S,2nd,male
464,S,3rd,male
466,S,2nd,male
468,Q,3rd,male
469,C,3rd,female
470,S,3rd,male
472,S,2nd,female
473,C,2nd,female
478,S,3rd,male
480,S,3rd,male
486,S,1st,female
488,S,3rd,male
490,S,3rd,male
497,S,3rd,male
498,S,1st,female
499,S,3rd,male
502,Q,3rd,female
504,S,1st,female
507,S,1st,male
508,S,3rd,male
509,S,3rd,male
510,Q,3rd,male
512,S,1st,male
514,S,3rd,male
515,S,1st,male
517,Q,3rd,male
525,Q,3rd,male
528,S,3rd,male
534,S,3rd,female
536,S,1st,male
537,C,1st,female
539,C,1st,female
540,S,1st,female
541,S,3rd,female
543,S,2nd,male
544,C,1st,male
546,S,2nd,female
547,C,2nd,male
548,S,3rd,male
550,C,1st,male
551,S,2nd,male
552,Q,3rd,male
554,S,3rd,female
555,S,1st,male
556,C,1st,female
559,S,3rd,female
560,Q,3rd,male
562,S,2nd,male
565,S,3rd,male
568,C,3rd,male
569,S,3rd,male
571,S,1st,female
574,S,3rd,male
575,S,3rd,male
576,S,2nd,female
577,S,1st,female
579,S,3rd,male
581,C,1st,female
582,S,2nd,male
584,C,3rd,male
586,S,2nd,male
589,S,3rd,male
590,S,3rd,male
591,C,1st,female
593,Q,3rd,female
594,S,2nd,male
595,S,3rd,male
598,C,3rd,male
599,C,1st,male
600,S,2nd,female
601,S,3rd,male
602,S,1st,male
604,C,1st,male
605,S,3rd,male
606,S,3rd,male
607,S,1st,male
608,C,2nd,female
610,S,3rd,female
611,S,3rd,male
613,Q,3rd,male
616,S,3rd,male
617,S,3rd,female
621,S,1st,male
622,C,3rd,male
623,S,3rd,male
624,S,3rd,male
628,S,3rd,male
629,Q,3rd,male
630,S,1st,male
633,S,1st,male
636,S,3rd,male
637,S,2nd,male
639,S,3rd,male
640,S,3rd,male
641,C,1st,female
645,C,1st,male
649,S,3rd,female
651,S,2nd,female
659,C,1st,male
660,S,1st,male
661,C,3rd,male
662,S,1st,male
663,S,3rd,male
664,S,3rd,male
665,S,2nd,male
667,S,3rd,male
668,S,3rd,male
670,S,2nd,female
673,S,2nd,male
675,S,3rd,male
677,S,3rd,female
679,C,1st,male
682,S,3rd,male
684,S,2nd,male
685,C,2nd,male
687,S,3rd,male
689,S,1st,female
690,S,1st,male
691,C,3rd,female
692,S,3rd,male
696,S,3rd,male
697,Q,3rd,female
699,S,3rd,male
702,C,3rd,female
703,Q,3rd,male
705,S,2nd,male
707,S,1st,male
709,C,3rd,male
711,S,1st,male
714,S,2nd,male
716,C,1st,female
717,S,2nd,female
719,S,3rd,male
721,S,3rd,male
723,S,2nd,male
729,S,3rd,female
730,S,1st,female
732,S,2nd,male
733,S,2nd,male
734,S,2nd,male
736,S,3rd,female
737,C,1st,male
739,S,3rd,male
741,S,1st,male
743,S,3rd,male
745,S,1st,male
746,S,3rd,male
747,S,2nd,female
748,S,1st,male
749,Q,3rd,male
751,S,3rd,male
754,S,2nd,female
755,S,2nd,male
756,S,3rd,male
757,S,2nd,male
758,S,3rd,male
759,S,1st,female
763,S,1st,female
765,S,1st,female
767,Q,3rd,female
770,S,3rd,male
772,S,2nd,female
773,C,3rd,male
774,S,2nd,female
775,S,3rd,male
776,Q,3rd,male
777,S,3rd,female
779,S,1st,female
781,S,1st,female
783,S,3rd,male
789,C,1st,male
790,Q,3rd,male
791,S,2nd,male
792,S,3rd,female
793,C,1st,male
794,S,3rd,male
795,S,2nd,male
797,S,3rd,female
798,C,3rd,male
801,S,2nd,female
802,S,1st,male
804,S,3rd,male
805,S,3rd,male
809,S,1st,female
812,S,2nd,male
814,S,3rd,male
821,S,3rd,male
824,S,3rd,male
826,S,3rd,male
828,Q,3rd,male
829,,1st,female
830,C,3rd,female
831,S,2nd,male
834,S,3rd,male
835,C,1st,female
836,S,3rd,male
840,S,3rd,male
842,C,1st,female
844,S,3rd,male
845,S,3rd,male
846,S,3rd,male
847,C,3rd,male
849,C,1st,female
850,S,3rd,male
853,S,1st,female
854,S,2nd,female
855,S,3rd,female
856,S,1st,female
858,C,3rd,female
860,S,3rd,male
861,S,2nd,male
863,S,3rd,female
865,S,2nd,female
867,S,1st,male
868,S,3rd,male
869,S,3rd,male
871,S,1st,female
872,S,1st,male
873,S,3rd,male
874,C,2nd,female
879,C,1st,female
884,S,3rd,male
888,S,3rd,female
0,S,3rd,male
1,C,1st,female
2,S,3rd,female
5,Q,3rd,male
6,S,1st,male
8,S,3rd,female
10,S,3rd,female
12,S,3rd,male
14,S,3rd,female
15,S,2nd,female
17,S,2nd,male
18,S,3rd,female
20,S,2nd,male
21,S,2nd,male
22,Q,3rd,female
27,S,1st,male
30,C,1st,male
31,C,1st,female
34,C,1st,male
35,S,1st,male
37,S,3rd,male
38,S,3rd,female
39,C,3rd,female
40,S,3rd,female
45,S,3rd,male
46,Q,3rd,male
48,C,3rd,male
49,S,3rd,female
50,S,3rd,male
51,S,3rd,male
52,C,1st,female
54,C,1st,male
55,S,1st,male
60,C,3rd,male
62,S,1st,male
64,C,1st,male
65,C,3rd,male
66,S,2nd,female
68,S,3rd,female
71,S,3rd,female
74,S,3rd,male
75,S,3rd,male
76,S,3rd,male
77,S,3rd,male
78,S,2nd,male
79,S,3rd,female
81,S,3rd,male
85,S,3rd,female
89,S,3rd,male
90,S,3rd,male
92,S,1st,male
96,C,1st,male
97,C,1st,male
100,S,3rd,female
101,S,3rd,male
102,S,1st,male
103,S,3rd,male
104,S,3rd,male
105,S,3rd,male
107,S,3rd,male
108,S,3rd,male
109,Q,3rd,female
113,S,3rd,female
116,Q,3rd,male
118,C,1st,male
122,C,2nd,male
124,S,1st,male
127,S,3rd,male
132,S,3rd,female
133,S,2nd,female
140,C,3rd,female
141,S,3rd,female
142,S,3rd,female
144,S,2nd,male
145,S,2nd,male
150,S,2nd,male
154,S,3rd,male
155,C,1st,male
156,Q,3rd,female
157,S,3rd,male
158,S,3rd,male
159,S,3rd,male
161,S,2nd,female
162,S,3rd,male
165,S,3rd,male
167,S,3rd,female
170,S,1st,male
171,Q,3rd,male
172,S,3rd,female
173,S,3rd,male
175,S,3rd,male
178,S,2nd,male
179,S,3rd,male
181,C,2nd,male
185,S,1st,male
187,S,1st,male
188,Q,3rd,male
190,S,2nd,female
193,S,2nd,male
194,C,1st,female
196,Q,3rd,male
198,Q,3rd,female
200,S,3rd,male
202,S,3rd,male
204,S,3rd,male
205,S,3rd,female
206,S,3rd,male
208,Q,3rd,female
210,S,3rd,male
211,S,2nd,female
214,Q,3rd,male
215,C,1st,female
218,C,1st,female
220,S,3rd,male
222,S,3rd,male
223,S,3rd,male
229,S,3rd,female
230,S,1st,female
231,S,3rd,male
233,S,3rd,female
235,S,3rd,female
236,S,2nd,male
238,S,2nd,male
239,S,2nd,male
240,C,3rd,female
241,Q,3rd,female
242,S,2nd,male
243,S,3rd,male
245,Q,1st,male
247,S,2nd,female
249,S,2nd,male
250,S,3rd,male
251,S,3rd,female
252,S,1st,male
253,S,3rd,male
255,C,3rd,female
258,C,1st,female
261,S,3rd,male
262,S,1st,male
263,S,1st,male
264,Q,3rd,female
266,S,3rd,male
267,S,3rd,male
268,S,1st,female
270,S,1st,male
271,S,3rd,male
272,S,2nd,female
278,Q,3rd,male
279,S,3rd,female
283,S,3rd,male
285,C,3rd,male
293,S,3rd,female
294,S,3rd,male
298,S,1st,male
299,C,1st,female
301,Q,3rd,male
302,S,3rd,male
303,Q,2nd,female
304,S,3rd,male
306,C,1st,female
308,C,2nd,male
309,C,1st,female
310,C,1st,female
311,C,1st,female
312,S,2nd,female
313,S,3rd,male
315,S,3rd,female
316,S,2nd,female
317,S,2nd,male
318,S,1st,female
319,C,1st,female
320,S,3rd,male
327,S,2nd,female
331,S,1st,male
333,S,3rd,male
334,S,1st,female
337,C,1st,female
338,S,3rd,male
342,S,2nd,male
344,S,2nd,male
345,S,2nd,female
346,S,2nd,female
350,S,3rd,male
351,S,1st,male
352,C,3rd,male
354,C,3rd,male
356,S,1st,female
358,Q,3rd,female
361,C,2nd,male
362,C,3rd,female
363,S,3rd,male
364,Q,3rd,male
366,C,1st,female
367,C,3rd,female
372,S,3rd,male
374,S,3rd,female
375,C,1st,female
378,C,3rd,male
379,S,3rd,male
380,C,1st,female
382,S,3rd,male
384,S,3rd,male
386,S,3rd,male
389,C,2nd,female
390,S,1st,male
391,S,3rd,male
392,S,3rd,male
395,S,3rd,male
397,S,2nd,male
399,S,2nd,female
401,S,3rd,male
402,S,3rd,female
403,S,3rd,male
406,S,3rd,male
408,S,3rd,male
409,S,3rd,female
412,Q,1st,female
413,S,2nd,male
416,S,2nd,female
418,S,2nd,male
420,C,3rd,male
422,S,3rd,male
424,S,3rd,male
425,S,3rd,male
428,Q,3rd,male
432,S,2nd,female
434,S,1st,male
436,S,3rd,female
439,S,2nd,male
440,S,2nd,female
441,S,3rd,male
443,S,2nd,female
447,S,1st,male
451,S,3rd,male
452,C,1st,male
453,C,1st,male
456,S,1st,male
457,S,1st,female
458,S,2nd,female
460,S,1st,male
462,S,1st,male
465,S,3rd,male
467,S,1st,male
471,S,3rd,male
474,S,3rd,female
475,S,1st,male
476,S,2nd,male
477,S,3rd,male
479,S,3rd,female
481,S,2nd,male
482,S,3rd,male
483,S,3rd,female
484,C,1st,male
485,S,3rd,female
487,C,1st,male
489,S,3rd,male
491,S,3rd,male
492,S,1st,male
493,C,1st,male
494,S,3rd,male
495,C,3rd,male
496,C,1st,female
500,S,3rd,male
501,Q,3rd,female
503,S,3rd,female
505,C,1st,male
506,S,2nd,female
511,S,3rd,male
513,C,1st,female
516,S,2nd,female
518,S,2nd,female
519,S,3rd,male
520,S,1st,female
521,S,3rd,male
522,C,3rd,male
523,C,1st,female
524,C,3rd,male
526,S,2nd,female
527,S,1st,male
529,S,2nd,male
530,S,2nd,female
531,C,3rd,male
532,C,3rd,male
533,C,3rd,female
535,S,2nd,female
538,S,3rd,male
542,S,3rd,female
545,S,1st,male
549,S,2nd,male
553,C,3rd,male
557,C,1st,male
558,S,1st,female
561,S,3rd,male
563,S,3rd,male
564,S,3rd,female
566,S,3rd,male
567,S,3rd,female
570,S,2nd,male
572,S,1st,male
573,Q,3rd,female
578,C,3rd,female
580,S,2nd,female
583,C,1st,male
585,S,1st,female
587,C,1st,male
588,S,3rd,male
592,S,3rd,male
596,S,2nd,female
597,S,3rd,male
603,S,3rd,male
609,S,1st,female
612,Q,3rd,female
614,S,3rd,male
615,S,2nd,female
618,S,2nd,female
619,S,2nd,male
620,C,3rd,male
625,S,1st,male
626,Q,2nd,male
627,S,1st,female
631,S,3rd,male
632,C,1st,male
634,S,3rd,female
635,S,2nd,female
638,S,3rd,female
642,S,3rd,female
643,S,3rd,male
644,C,3rd,female
646,S,3rd,male
647,C,1st,male
648,S,3rd,male
650,S,3rd,male
652,S,3rd,male
653,Q,3rd,female
654,Q,3rd,female
655,S,2nd,male
656,S,3rd,male
657,Q,3rd,female
658,S,2nd,male
666,S,2nd,male
669,S,1st,female
671,S,1st,male
672,S,2nd,male
674,S,2nd,male
676,S,3rd,male
678,S,3rd,female
680,Q,3rd,female
681,C,1st,male
683,S,3rd,male
686,S,3rd,male
688,S,3rd,male
693,C,3rd,male
694,S,1st,male
695,S,2nd,male
698,C,1st,male
700,C,1st,female
701,S,1st,male
704,S,3rd,male
706,S,2nd,female
708,S,1st,female
710,C,1st,female
712,S,1st,male
713,S,3rd,male
715,S,3rd,male
718,Q,3rd,male
720,S,2nd,female
722,S,2nd,male
724,S,1st,male
725,S,3rd,male
726,S,2nd,female
727,Q,3rd,female
728,S,2nd,male
731,C,3rd,male
735,S,3rd,male
738,S,3rd,male
740,S,1st,male
742,C,1st,female
744,S,3rd,male
750,S,2nd,female
752,S,3rd,male
753,S,3rd,male
760,S,3rd,male
761,S,3rd,male
762,C,3rd,male
764,S,3rd,male
766,C,1st,male
768,Q,3rd,male
769,S,3rd,male
771,S,3rd,male
778,Q,3rd,male
780,C,3rd,female
782,S,1st,male
784,S,3rd,male
785,S,3rd,male
786,S,3rd,female
787,Q,3rd,male
788,S,3rd,male
796,S,1st,female
799,S,3rd,female
800,S,2nd,male
803,C,3rd,male
806,S,1st,male
807,S,3rd,female
808,S,2nd,male
810,S,3rd,male
811,S,3rd,male
813,S,3rd,female
815,S,1st,male
816,S,3rd,female
817,C,2nd,male
818,S,3rd,male
819,S,3rd,male
820,S,1st,female
822,S,1st,male
823,S,3rd,female
825,Q,3rd,male
827,C,2nd,male
832,C,3rd,male
833,S,3rd,male
837,S,3rd,male
838,S,3rd,male
839,C,1st,male
841,S,2nd,male
843,C,3rd,male
848,S,2nd,male
851,S,3rd,male
852,C,3rd,female
857,S,1st,male
859,C,3rd,male
862,S,1st,female
864,S,2nd,male
866,C,2nd,female
870,S,3rd,male
875,C,3rd,female
876,S,3rd,male
877,S,3rd,male
878,S,3rd,male
880,S,2nd,female
881,S,3rd,male
882,S,3rd,female
883,S,2nd,male
885,Q,3rd,female
886,S,2nd,male
887,S,1st,female
889,C,1st,male
890,Q,3rd,male
